X,Y
0.0,13.5
6.0,13.506
12.0,13.524
18.0,13.554
24.0,13.596
30.0,13.65
36.0,13.76049
42.0,13.97196
48.0,14.28441
54.0,14.69784
60.0,15.21225
66.0,15.82764
72.0,16.54401
78.0,17.36136
84.0,18.2463227273
90.0,19.0904545455
96.0,19.8854136364
102.0,20.6312
108.0,21.3278136364
114.0,21.9752545455
120.0,22.5735227273
126.0,23.1226181818
132.0,23.6225409091
138.0,24.0732909091
144.0,24.4748681818
150.0,24.8272727273
156.0,25.1305045455
162.0,25.3845636364
168.0,25.58945
174.0,25.7451636364
180.0,25.8517045455
186.0,25.9090727273
192.0,25.92
1015.0,25.92
4915.0,25.92
4927.0,25.9203168
4939.0,25.9212672
4951.0,25.9228512
4963.0,25.9250688
4975.0,25.92792
4987.0,25.9314048
4999.0,25.9355232
5011.0,25.9402752
5023.0,25.9456608
5035.0,25.95168
5047.0,25.9583328
5059.0,25.9656192
5071.0,25.9735392
5083.0,25.9820928
5095.0,25.99128
5107.0,26.0011008
5119.0,26.0115552
5131.0,26.0226432
5143.0,26.0343648
5155.0,26.04672
5167.0,26.0597088
5179.0,26.0733312
5191.0,26.0875872
5203.0,26.1024768
5215.0,26.118
5227.0,26.1341568
5239.0,26.1509472
5251.0,26.1683712
5263.0,26.1864288
5275.0,26.20512
5287.0,26.2244448
5299.0,26.2444032
5311.0,26.2649952
5323.0,26.2862208
5335.0,26.30808
5347.0,26.3305728
5359.0,26.3536992
5371.0,26.3774592
5383.0,26.4018528
5395.0,26.42688
5407.0,26.4525408
5419.0,26.4788352
5431.0,26.5057632
5443.0,26.5333248
5455.0,26.56152
5467.0,26.5903488
5479.0,26.6198112
5491.0,26.6499072
5503.0,26.6806368
5515.0,26.712
5527.0,26.7439968
5539.0,26.7766272
5551.0,26.8098912
5563.0,26.8437888
5575.0,26.87832
5587.0,26.9134848
5599.0,26.9492832
5611.0,26.9857152
5623.0,27.0227808
5635.0,27.06048
5647.0,27.0988128
5659.0,27.1377792
5671.0,27.1773792
5683.0,27.2176128
5695.0,27.25848
5707.0,27.2999808
5719.0,27.3421152
5731.0,27.3848832
5743.0,27.4282848
5755.0,27.47232
5767.0,27.5169888
5779.0,27.5622912
5791.0,27.6082272
5803.0,27.6547968
5815.0,27.702
5827.0,27.7498368
5839.0,27.7983072
5851.0,27.8474112
5863.0,27.8971488
5875.0,27.94752
5887.0,27.9985248
5899.0,28.0501632
5911.0,28.1024352
5923.0,28.1553408
5935.0,28.20888
5947.0,28.2630528
5959.0,28.3178592
5971.0,28.3732992
5983.0,28.4293728
5995.0,28.48608
6007.0,28.5434208
6019.0,28.6013952
6031.0,28.6600032
6043.0,28.7192448
6055.0,28.77912
6067.0,28.8396288
6079.0,28.9007712
6091.0,28.9625472
6103.0,29.0249568
6115.0,29.088
6127.0,29.1516768
6139.0,29.2159872
6151.0,29.2809312
6163.0,29.3465088
6175.0,29.41272
6187.0,29.4795648
6199.0,29.5470432
6211.0,29.6151552
6223.0,29.6839008
6235.0,29.75328
6247.0,29.8232928
6259.0,29.8939392
6271.0,29.9652192
6283.0,30.0371328
6295.0,30.10968
6307.0,30.1828608
6319.0,30.2566752
6331.0,30.3311232
6343.0,30.4062048
6355.0,30.48192
6367.0,30.5582688
6379.0,30.6352512
6391.0,30.7128672
6403.0,30.7911168
6415.0,30.87
6427.0,30.9495168
6439.0,31.0296672
6451.0,31.1104512
6463.0,31.1918688
6475.0,31.27392
6487.0,31.3566048
6499.0,31.4399232
6511.0,31.5238752
6523.0,31.6084608
6535.0,31.69368
6547.0,31.7795328
6559.0,31.8660192
6571.0,31.9531392
6583.0,32.0408928
6595.0,32.12928
6607.0,32.2183008
6619.0,32.3079552
6631.0,32.3982432
6643.0,32.4891648
6655.0,32.58072
6667.0,32.6729088
6679.0,32.7657312
6691.0,32.8591872
6703.0,32.9532768
6715.0,33.048
6727.0,33.1433568
6739.0,33.2393472
6751.0,33.3359712
6763.0,33.4332288
6775.0,33.53112
6787.0,33.6296448
6799.0,33.7288032
6811.0,33.8285952
6823.0,33.9290208
6835.0,34.03008
6847.0,34.1317728
6859.0,34.2340992
6871.0,34.3370592
6883.0,34.4406528
