X,Y
0.0,13.5
6.0,13.506
12.0,13.524
18.0,13.554
24.0,13.596
30.0,13.65
36.0,13.76049
42.0,13.97196
48.0,14.28441
54.0,14.69784
60.0,15.21225
66.0,15.82764
72.0,16.54401
78.0,17.36136
84.0,18.2463227273
90.0,19.0904545455
96.0,19.8854136364
102.0,20.6312
108.0,21.3278136364
114.0,21.9752545455
120.0,22.5735227273
126.0,23.1226181818
132.0,23.6225409091
138.0,24.0732909091
144.0,24.4748681818
150.0,24.8272727273
156.0,25.1305045455
162.0,25.3845636364
168.0,25.58945
174.0,25.7451636364
180.0,25.8517045455
186.0,25.9090727273
192.0,25.92
1015.0,25.92
20168.0,25.92
20180.0,25.9208352
20192.0,25.9233408
20204.0,25.9275168
20216.0,25.9333632
20228.0,25.94088
20240.0,25.9500672
20252.0,25.9609248
20264.0,25.9734528
20276.0,25.9876512
20288.0,26.00352
20300.0,26.0210592
20312.0,26.0402688
20324.0,26.0611488
20336.0,26.0836992
20348.0,26.10792
20360.0,26.1338112
20372.0,26.1613728
20384.0,26.1906048
20396.0,26.2215072
20408.0,26.25408
20420.0,26.2883232
20432.0,26.3242368
20444.0,26.3618208
20456.0,26.4010752
20468.0,26.442
20480.0,26.4845952
20492.0,26.5288608
20504.0,26.5747968
20516.0,26.6224032
20528.0,26.67168
20540.0,26.7226272
20552.0,26.7752448
20564.0,26.8295328
20576.0,26.8854912
20588.0,26.94312
20600.0,27.0024192
20612.0,27.0633888
20624.0,27.1260288
20636.0,27.1903392
20648.0,27.25632
20660.0,27.3239712
20672.0,27.3932928
20684.0,27.4642848
20696.0,27.5369472
20708.0,27.61128
20720.0,27.6872832
20732.0,27.7649568
20744.0,27.8443008
20756.0,27.9253152
20768.0,28.008
20780.0,28.0923552
20792.0,28.1783808
20804.0,28.2660768
20816.0,28.3554432
20828.0,28.44648
20840.0,28.5391872
20852.0,28.6335648
20864.0,28.7296128
20876.0,28.8273312
20888.0,28.92672
20900.0,29.0277792
20912.0,29.1305088
20924.0,29.2349088
20936.0,29.3409792
20948.0,29.44872
20960.0,29.5581312
20972.0,29.6692128
20984.0,29.7819648
20996.0,29.8963872
21008.0,30.01248
21020.0,30.1302432
21032.0,30.2496768
21044.0,30.3707808
21056.0,30.4935552
21068.0,30.618
21080.0,30.7441152
21092.0,30.8719008
21104.0,31.0013568
21116.0,31.1324832
21128.0,31.26528
21140.0,31.3997472
21152.0,31.5358848
21164.0,31.6736928
21176.0,31.8131712
21188.0,31.95432
21200.0,32.0971392
21212.0,32.2416288
21224.0,32.3877888
21236.0,32.5356192
21248.0,32.68512
21260.0,32.8362912
21272.0,32.9891328
21284.0,33.1436448
21296.0,33.2998272
21308.0,33.45768
21320.0,33.6172032
21332.0,33.7783968
21344.0,33.9412608
21356.0,34.1057952
21368.0,34.272
21380.0,34.4398752
21392.0,34.6094208
21404.0,34.7806368
21416.0,34.9535232
21428.0,35.12808
21440.0,35.3043072
21452.0,35.4822048
21464.0,35.6617728
21476.0,35.8430112
21488.0,36.02592
21500.0,36.2104992
21512.0,36.3967488
21524.0,36.5846688
21536.0,36.7742592
21548.0,36.96552
21560.0,37.1584512
21572.0,37.3530528
21584.0,37.5493248
21596.0,37.7472672
21608.0,37.94688
21620.0,38.1481632
21632.0,38.3511168
21644.0,38.5557408
21656.0,38.7620352
21668.0,38.97
21680.0,39.1796352
21692.0,39.3909408
21704.0,39.6039168
21716.0,39.8185632
21728.0,40.03488
21740.0,40.2528672
21752.0,40.4725248
21764.0,40.6938528
21776.0,40.9168512
21788.0,41.14152
21800.0,41.3678592
21812.0,41.5958688
21824.0,41.8255488
21836.0,42.0568992
21848.0,42.28992
21860.0,42.5246112
21872.0,42.7609728
21884.0,42.9990048
21896.0,43.2387072
21908.0,43.48008
21920.0,43.7231232
21932.0,43.9678368
21944.0,44.2142208
21956.0,44.4622752
21968.0,44.712
21980.0,44.9633952
21992.0,45.2164608
22004.0,45.4711968
22016.0,45.7276032
22028.0,45.98568
22040.0,46.2454272
22052.0,46.5068448
22064.0,46.7699328
22076.0,47.0346912
22088.0,47.30112
22100.0,47.5692192
22112.0,47.8389888
22124.0,48.1104288
22136.0,48.3835392
