X,Y
0.0,13.5
6.0,13.506
12.0,13.524
18.0,13.554
24.0,13.596
30.0,13.65
36.0,13.76049
42.0,13.97196
48.0,14.28441
54.0,14.69784
60.0,15.21225
66.0,15.82764
72.0,16.54401
78.0,17.36136
84.0,18.2463227273
90.0,19.0904545455
96.0,19.8854136364
102.0,20.6312
108.0,21.3278136364
114.0,21.9752545455
120.0,22.5735227273
126.0,23.1226181818
132.0,23.6225409091
138.0,24.0732909091
144.0,24.4748681818
150.0,24.8272727273
156.0,25.1305045455
162.0,25.3845636364
168.0,25.58945
174.0,25.7451636364
180.0,25.8517045455
186.0,25.9090727273
192.0,25.92
1015.0,25.92
12115.0,25.92
12127.0,25.9208352
12139.0,25.9233408
12151.0,25.9275168
12163.0,25.9333632
12175.0,25.94088
12187.0,25.9500672
12199.0,25.9609248
12211.0,25.9734528
12223.0,25.9876512
12235.0,26.00352
12247.0,26.0210592
12259.0,26.0402688
12271.0,26.0611488
12283.0,26.0836992
12295.0,26.10792
12307.0,26.1338112
12319.0,26.1613728
12331.0,26.1906048
12343.0,26.2215072
12355.0,26.25408
12367.0,26.2883232
12379.0,26.3242368
12391.0,26.3618208
12403.0,26.4010752
12415.0,26.442
12427.0,26.4845952
12439.0,26.5288608
12451.0,26.5747968
12463.0,26.6224032
12475.0,26.67168
12487.0,26.7226272
12499.0,26.7752448
12511.0,26.8295328
12523.0,26.8854912
12535.0,26.94312
12547.0,27.0024192
12559.0,27.0633888
12571.0,27.1260288
12583.0,27.1903392
12595.0,27.25632
12607.0,27.3239712
12619.0,27.3932928
12631.0,27.4642848
12643.0,27.5369472
12655.0,27.61128
12667.0,27.6872832
12679.0,27.7649568
12691.0,27.8443008
12703.0,27.9253152
12715.0,28.008
12727.0,28.0923552
12739.0,28.1783808
12751.0,28.2660768
12763.0,28.3554432
12775.0,28.44648
12787.0,28.5391872
12799.0,28.6335648
12811.0,28.7296128
12823.0,28.8273312
12835.0,28.92672
12847.0,29.0277792
12859.0,29.1305088
12871.0,29.2349088
12883.0,29.3409792
12895.0,29.44872
12907.0,29.5581312
12919.0,29.6692128
12931.0,29.7819648
12943.0,29.8963872
12955.0,30.01248
12967.0,30.1302432
12979.0,30.2496768
12991.0,30.3707808
13003.0,30.4935552
13015.0,30.618
13027.0,30.7441152
13039.0,30.8719008
13051.0,31.0013568
13063.0,31.1324832
13075.0,31.26528
13087.0,31.3997472
13099.0,31.5358848
13111.0,31.6736928
13123.0,31.8131712
13135.0,31.95432
13147.0,32.0971392
13159.0,32.2416288
13171.0,32.3877888
13183.0,32.5356192
13195.0,32.68512
13207.0,32.8362912
13219.0,32.9891328
13231.0,33.1436448
13243.0,33.2998272
13255.0,33.45768
13267.0,33.6172032
13279.0,33.7783968
13291.0,33.9412608
13303.0,34.1057952
13315.0,34.272
13327.0,34.4398752
13339.0,34.6094208
13351.0,34.7806368
13363.0,34.9535232
13375.0,35.12808
13387.0,35.3043072
13399.0,35.4822048
13411.0,35.6617728
13423.0,35.8430112
13435.0,36.02592
13447.0,36.2104992
13459.0,36.3967488
13471.0,36.5846688
13483.0,36.7742592
13495.0,36.96552
13507.0,37.1584512
13519.0,37.3530528
13531.0,37.5493248
13543.0,37.7472672
13555.0,37.94688
13567.0,38.1481632
13579.0,38.3511168
13591.0,38.5557408
13603.0,38.7620352
13615.0,38.97
13627.0,39.1796352
13639.0,39.3909408
13651.0,39.6039168
13663.0,39.8185632
13675.0,40.03488
13687.0,40.2528672
13699.0,40.4725248
13711.0,40.6938528
13723.0,40.9168512
13735.0,41.14152
13747.0,41.3678592
13759.0,41.5958688
13771.0,41.8255488
13783.0,42.0568992
13795.0,42.28992
13807.0,42.5246112
13819.0,42.7609728
13831.0,42.9990048
13843.0,43.2387072
13855.0,43.48008
13867.0,43.7231232
13879.0,43.9678368
13891.0,44.2142208
13903.0,44.4622752
13915.0,44.712
13927.0,44.9633952
13939.0,45.2164608
13951.0,45.4711968
13963.0,45.7276032
13975.0,45.98568
13987.0,46.2454272
13999.0,46.5068448
14011.0,46.7699328
14023.0,47.0346912
14035.0,47.30112
14047.0,47.5692192
14059.0,47.8389888
14071.0,48.1104288
14083.0,48.3835392
